word,gloss,pos,example,source
āblǣcung,"~ung f. paleness, pallor.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblæ_st,āblæ̂st ( ā·blæ̂st ) with strong blast ( of flame).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblāwan,āblāwan ( ā·blāwan ) I tr. blow (trumpet); breathe: God him on-ābleow gast .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblęndan,"āblęndan ( ā·blęndan ) blind; delude, deceive.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblēred,"āblēred ( ā·blēred ) ptc. bare, uncovered (neck) [ blēre ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblīcan,"āblīcan ( ā·blīcan ) 6 shine (forth), appear, be bright — ic bēo āblicen dealbabor.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblinnan,āblinnan ( a·blinn|an ) 3 intr. cease ; desist (from) w.g. fram .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ablinnednes,"~ednes , ~endnes f. cessation, interruption.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblissian,"āblissian ( ā·blissian ) make glad, please.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblycgan,"āblycgan ( ā·blycg|an ) grow pale || strike with consternation, amaze, esp. in ptc. ~ed .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblysian,"āblysian ( ā·blys|ian ) blush, be ashamed.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āblysung,"~ung f. blushing, shame.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābolgennes,ābolgennes ( ā·bolgennes ) f. irritation [ ābelgan ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āborian,āborian = ābarian disclose.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āborgian,āborgian ( ā·borgian ) be security for wa .; borrow w. æt .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābracian,ābracian ( ā·brac|ian ) ~od engraved in relief.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrǣdan,"ābrǣdan ( ā·brǣdan ) dilate, stretch out.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābraslian,ābraslian ( ā·braslian ) intr. (re)sound.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrecan,"ābrecan ( ā·brecan ) 4 break through or down (wall); take (fortress); break (command) || intr. force one’s way (into), break away (from).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābredwian,"ābredwian ( ā·bredwian ) destroy, kill.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrēgan,ābrēgan ( ā·brēgan ) terrify.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābregdan,"ābregdan ( ā·bregdan ), -edan 3 tr. move quickly, snatch, draw sword, ūp~ raise; ~ of , fram remove, take away || intr. start up, awake.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrēmende,"ābrēmende , under ā .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrēotan,"ābrēotan ( ā·brēot|an ) 7, also wk., prt. -ēat , -ēot , -ēotte destroy.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrēotnes,~nes f. extermination.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrēoþan,"ābrēoþan ( ā·brēoþan ) 7, prt. pl. -uþon deteriorate ; prove untrustworthy, fail; hit ābrēaþ , hē ābrēaþ æt þære þearfe ; perish, come to an end. ptc. -oþen degenerate, worthless || tr. , prt. -ēodde , destroy M .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
abrerdan,abrerdan = onbryrdan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābrīetan,"ābrīetan ( ā·brīetan )*, ȳ , A. ēo destroy. Cp. ābrēotan .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābroþen,ābroþen ( ā·broþen ) ptc. of ābrēoþan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābroþennes,"~nes f. degeneracy, cowardice.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābufan,ābufan ( ā·bufan ) av. above vL . [ = onbufan ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābūgan,"ābūgan ( ā·būgan ) 7 intr. bend, be bent ; bow down ; incline | turn (to or from), withdraw | wd. submit (to), do homage.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābūtan,ābūtan = onbūtan .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābycgan,ābycgan ( ā·bycgan ) buy ; requite ; redeem | perform (oath).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābyffan,ābyffan ( ā·byffan ) mutter.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābylg,"ābylg- , see æ̂bylg- .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābysgian,"ābysgian ( ā·bysg|ian ), i occupy, trouble, engross (the mind) : ~od on, mid || intr. ~ on engage in, undertake.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ābysgung,~ung f. occupation.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ac,"ac , ā , A. ah I. cj. but ; and. II. av. interr. A. numquid — ah-ne nonne.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āc,"āc f. , d. , nom. pl. ǣc , g. āce , ld. āc oak; † ship of oak || m. the Runic letter a.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācbēam,~bēam m. oak-tree.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āccynn,~cynn n. kind of oak.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācdręnc,~dręnc vi. drink made from acorns (?).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āclēaf,~lēaf n. oak-leaf.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācmelo,~melo n. acorn-meal.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācmistel,~mistel m. oak mistletoe.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācrind,~rind f. oak-bark.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āctreow,~treow n. oak-tree.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
aclæc,aclæc ( ac-læc ) = āg-lāc .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
acan,acan 2 ache.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācǣglian,ācǣglian ( ā·cǣgl|ian ) — ~od serrated (back).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācalan,ācalan ( ā·calan ) 2 become cold.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
accent,accent m. accent [ Lt. accentus ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācealdian,ācealdian ( ā·cealdian ) become cold.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācēlan,ācēlan ( ā·cēlan ) tr. cool ; quiet.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācelma,"ācelma , see æ̂c- .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācen,ācen = ǣcen .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācęnnan,ācęnnan ( ā·cęnn|an ) bear (child) : hē wæs ~ed of hire ; produce (result).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācęnned,"~ed born, (his) own (child).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācęnnedlic,~edlic native Gl.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācęnnednes,"~ednes , E. ācęnnes f. birth.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āceocian,"āceocian ( ā·ceoc|ian ), -coc - tr. choke (to death) || intr. burn itself out ( of fire).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āceocung,"~ung f. ‘choking up,’ ruminating.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āceorfan,"āceorfan ( ā·ceorfan ) 3 cut (off head, down tree).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācēosan,"ācēosan ( ā·cēosan ) 7 choose, pick out — acoren Gode chosen in the sight of (by) God.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācīegan,"ācīegan ( ā·cīegan ) call forth, summon.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācięrran,"ācięrran ( ā·cięrr|an ) tr. turn ; turn aside || intr. turn, go; return.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācięrrednes,"~ednes f. turning away, apostasy, revolt.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āclian,āclian terrify [ ācol ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āclǣnsian,āclǣnsian ( ā·clǣnsian ) purify w. fram .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āclēofan,āclēofan ( ā·clēofan ) 7 tr. split.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āclingan,āclingan ( ā·clingan ) 3 — ptc. aclungen contracted.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
āclipian,"āclipian ( ā·clipian ), eo call forth, summon.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācofrian,ācofrian ( ā·cofrian ) intr. recover (from illness).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācol,"ācol , ā †, ~mōd terrified, excited.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
geācolmōdian,"ge ~mōdian terrify, dispirit.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācōlian,ācōlian ( ā·cōlian ) become cool or cold.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
acolitus,acolitus m. light-bearer (in church) [ lLt . acolythus ].,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācoren,"ācoren ( ā·coren ) ptc. of ācēosan , chosen.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācorenlic,"~lic eligible, estimable.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācostnian,"ācostnian ( ā·costnian ) try, test.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācræftan,ācræftan ( ā·cræftan ) devise (plan).,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācrammian,ācrammian ( ā·crammian ) cram.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācrēopian,"ācrēopian ( ā·crēop|ian ) creep, crawl — wyrmum ~ed swarming with worms.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācrimman,"ācrimman ( ā·crimman ) 3 cram, stuff.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācsian,ācsian = āscian .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācuman,"ācuman ( ā·cum|an ) 4 come ; descend (from ancestor) : eal mancyn þe him of-ācōm || tr. endure, withstand (temptation).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācumendlic,~endlic endurable.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācumendlicnes,~endlicnes f. possibility Gl.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācumba,"ācumba ( ā-cumba ) m. -e f. æ̂- , ācuma oakum, tow ; ashes of the same clippings, prunings [ cęmban ].",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācunnian,"ācunnian ( ā·cunnian ) test, try, find out; experience: ~ on me selfum .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
acustan,acustan accuse lM .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācwacian,ācwacian ( ā·cwacian ) tremble.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācwęccan,ācwęccan ( ā·cwęccan ) shake tr. and intr .,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācwęlan,"ācwęlan ( ā·cwęlan ) 4 die, perish.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācwęllan,"ācwęllan ( ā·cwęllan ) kill, destroy.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācwęncan,"ācwęncan ( ā·cwęncan ) extinguish (fire, light).",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācweorna,"ācweorna , L. ācwern m. squirrel.",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācweorran,"ācweorran ( ā·cweorran ) 3 — ācworren surfeited, crapulatus. Cp. mętecweorra .",,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
ācweþan,ācweþan ( ā·cweþan ) 5 say: ~ hine fram reject.,,,"Sweet, A Student's Dictionary of Anglo-Saxon (1896) -- HTML ed. mikepope.com, CC BY-NC-SA 4.0"
